序号,标注结果（0：假粉：机器、低活跃。1：真粉）,昵称,总获赞,关注数,粉丝数,作品,动态,喜欢,是否有签名？,个性签名
1,1,十楼这一跳窗帘没关,43,32,34,5,5,68,1,食品问题多，一直在尝试！
2,0,用户438486,0,10,6,0,0,6,0,
3,0,@商业模式,0,18,5,0,0,0,0,
4,1,园花飞,90,1222,62,3,4,7,1,一个爱读书的好朋友。这一
5,1,Dream丶巴沙里奥,1487,78,114,30,30,1477,1,别怕失败，  大不了从头再来。
6,0,尼米米,0,71,0,0,0,16,0,
7,1,缘定一生,3522,301,196,87,87,5941,0,
8,1,步心渐,0,902,65,0,0,3530,0,
9,1,青春吴敌,89,60,46,32,32,207,1,一切有为法，如梦幻泡影，如露亦如电，应做如是观
10,1,Edison,0,66,18,1,3,255,1,我是最条街最靓的仔
11,0,瑟瑟发抖的锤子,0,261,1,0,0,0,0,
12,0,MR,0,25,0,0,0,8,0,
13,1,Yerseeeen,61,224,78,5,10,791,0,t
14,1,YOYO,472,123,114,53,53,4320,0,
15,1,Carr salon,4415,235,222,175,175,85,1,上海小众连锁艺术高端美发沙龙，主营整体发型设计和专业头皮保养
16,0,swallow,0,338,24,0,0,0,0,
17,1,行走的鱼,0,957,125,0,0,8683,0,
18,0,鑫盛装饰,0,81,29,0,0,67,0,
19,1,幸福922333818558,34,303,45,0,0,0,1,一日之计在于晨
20,1,遇见??美好,107,43,32,10,10,123,1,总回头看的人，走不了远路
21,1,韬??,33,442,49,6,6,188,0,
22,0,老冬,0,36,0,0,0,0,0,
23,1,herol777,2,239,4,1,4,353,1,欢迎对未来有追求蜕变的您～( ? _ ?°)??
24,1,freestyleQ,7,200,21,2,7,1935,1,??
25,1,James,23,331,47,10,10,668,1,谁要帮我介绍个老婆
26,1,@一份烤排&,47,118,64,0,0,0,1,所有事情的结局都是好的，如果不好，证明还没到最后。
27,1,赑屃先生,14,60,10,3,3,326,0,
28,1,青风,5,161,1,1,3,228,0,
29,0,Miss。yan,0,29,0,0,0,0,0,
30,1,晨晨Baby ,253,1107,31,74,81,1167,0,
31,1,用户3063915098973,0,204,1,0,0,513,0,
32,1,文刀刘,0,116,56,0,1,89,0,
33,0,用户218911641,0,5,0,0,0,3,0,
34,1,那一道国防绿。,347,629,112,136,137,13147,1,当那一天来临
35,1,李依樊,0,14,25,0,0,481,1,嗯哼
36,1,irwin,112,247,81,13,16,1095,0,
37,1,FREEDOM,256,581,87,37,40,4870,1,今冬第一场雪??
38,1,汽车饰全饰美,338,191,60,46,47,1990,1,汽车用品批发，专营雨刷，手缝把套，车载充电器，精品
39,1,冰山玫瑰,37,84,44,10,14,110,0,
40,1,三金',0,77,39,0,0,203,0,
41,1,风格,0,0,0,0,0,4049,1,我的风
42,1,柠檬??微凉,0,691,2,0,0,1840,0,
43,0,用户6222557972108,0,110,1,0,0,10,0,
44,1,2020四川单招攻略,2591,208,1283,47,61,0,0,
45,1,ldx,0,333,13,0,0,61,0,
46,1,江稞,32,403,101,2,5,1129,0,
47,1,MT腾仔,194,808,103,0,0,0,0,
48,1,高跟鞋,0,146,1,0,0,314,0,
49,1,Z,42,279,16,12,12,1450,0,
50,1,敷衍笑谈,1897,365,234,80,102,318,1,我不是怪异。本人是限量版。
51,0,老刀杰克,0,76,28,0,0,180,0,
52,1,loheiah,0,276,4,0,0,107,0,
53,0,用户2068223325428,0,59,12,0,0,99,0,
54,1,?? ??沉默是金?? ??,443,497,220,8,8,898,1,创造自我，追求无我。
55,1,阿靑,19,44,1,9,9,4,1,"For record my dance journey.
逃离朋友圈。
微博呢只想做个安静的心情记录者。
嘎嘎~我来啦~2019/10/01"
56,0,小丶小小毅,6,6,8,2,2,36,0,
57,1,销售模切光电辅材～小卢,0,46,8,0,0,1340,0,
58,1,一叶之秋,29,142,13,37,37,907,1,王者来战不服来干。
59,0,一涵,0,16,14,0,0,99,0,
60,1,安逸,7,89,5,4,4,759,0,
61,1,嗯个是个孬子,4650,214,694,62,62,699,1,一切归零
62,1,Running-Man,0,554,18,0,1,439,0,
63,1,Dear浅沫漓殇,24,32,14,4,4,320,1,凭轩卧听雨荷声，点点滴滴在心头。?
64,0,曼珠,0,5,0,0,0,9,0,
65,0,安各庄,0,14,15,0,0,49,0,
66,1,?小福??,308,1228,220,9,9,2730,0,
67,1,与鲸共舞,16475,1753,1660,35,41,25,1,我是一个鲸豚玩伴，我爱牠们，牠们也爱我！感谢“抖音”平台，感谢豆粉们的顶力支持！
68,1,跨境电商岙涣,118,8,29,2,2,47,1,"跨境电商一站式服务 
国际物流中转仓支持 
全程技术指导保驾护航
商务V?：16692174696"
69,1,专业手机液体纳米膜,13,134,3,4,4,493,1,"本人从事研究液体纳米膜从最开始的一代NANO.，产品所给用户带来的质疑到现在五代液体纳米膜给用户带来的实用性，见证了一代的缺陷到五代的完美！！
感谢抖音大大提供平台????????????????"
70,0,童年不同样??,41,99,43,1,1,10,1,找我???:futz19
71,0,用户3114327791663,0,89,0,0,0,1,0,
72,1,陈忠述,0,816,6,0,0,2596,0,
73,0,百合,25,24,7,3,3,91,0,
74,1,AndrewKu,36669,470,1272,91,96,828,1,我已经天下无敌了
75,0,李a,37,49,3,4,4,267,0,
76,0,雨程,0,137,20,0,0,24,0,
77,0,杭州新经济深度学习-爱蹭课,21,108,10,16,16,18,0,
78,1,??,0,1146,33,0,0,0,0,
79,1,誠信为本,793,2021,1145,58,59,608,1,誠信共贏
80,1,邦尼小姐1206,2,413,14,0,1,947,0,
81,0,回忆总想哭,82,38,28,29,29,136,0,
82,1,和你无关,0,1066,5,0,0,27654,0,
83,1,李文峰,12855,142,720,59,59,1177,1,微信号：lwf14551
84,0,海量求存,0,10,0,0,0,26,0,
85,1,尧廷,6,77,5,4,5,301,1,未尽人事，怎知天命。
86,0,LEAP,0,88,9,0,0,0,0,
87,1,紫色,23,49,13,5,5,1422,0,
88,1,老王啊,462,115,91,57,57,1527,1,穷则独善其身，达则兼济天下！
89,1,自学成才做蛋糕的…,604,32,95,329,329,320,1,自学成才做蛋糕的…
90,1,味东家,158,896,153,17,21,3230,0,
91,0,用户850660461045,0,3,0,0,0,5,0,
92,1,有梦不难,212,40,45,72,73,1260,1,电话号码18571550898
93,1,廖廖,561,671,338,5,458,9151,0,
94,1,T＆G,0,200,6,0,0,550,0,
95,1,惠州市惠城区黄大妈木桶饭餐厅,2111,263,1337,50,50,96,1,幸福都是奋斗出来的
96,0,星,6,94,8,1,1,172,0,
148,1,莫言丁丁,1,106,5,0,2,24085,1,宁可一思进，莫在一思停
153,1,完美多依,99,199,42,10,11,18,1,财富并非永久的朋友，朋友却是永久的财富
154,1,CFY,733,466,123,88,93,1810,1,过往不念，当下不纠，未来不期！
155,1,韩先生,26,496,25,2,7,18856,0,
156,1,吐蕃野狼??,7,56,12,1,1,3161,0,
157,1,A叫我阿玮（有关必回）,48,335,112,1,1,427,1,有关必回
158,0,脑子进水的年龄,0,3,0,0,0,2,0,
159,1,腮仙,0,91,4,0,0,645,0,
160,1,六安洪律师,586,1779,211,43,44,590,1,法律咨询V 18156490909
161,1,user9829481099138,0,312,4,0,0,157,0,
162,1,@Q,67,360,65,5,7,1096,0,
163,1,用户689690,0,58,0,0,0,222,0,
164,1,王伟_缠论之闻见学行,8,157,18,3,3,417,1,汲取人类有史以来一流的智慧，弘扬出去，在最短的时间帮助最多的人开心快乐，内心富足，实现财务自由！
165,0,小猫,6,65,10,1,1,39,0,
166,1,Abby,684,37,61,64,67,1536,1,不问前程凶吉，但求落幕无悔。
167,0,罗满财,0,67,1,0,0,122,0,
168,1,夜古都,827,3156,629,8,8,3,1,"??〔迪吧?清吧〕??
 优惠信息提供服务商
    ?夜?古?都?
Slogan：灵魂安放的栖息地"
169,1,Running-军,50,250,43,7,8,1100,0,
170,1,Mr Li .【阿旺:甲洋】,51,804,51,12,13,4937,0,
171,1,恒 温,37,139,58,1,1,261,0,
172,0,钱颖才,0,37,12,0,0,88,0,
173,1,用户9964732452104,0,61,5,0,0,1196,0,
174,0,风吹过你的,0,25,4,0,0,67,0,
175,1,星尚方琴,5059,842,602,410,412,2679,1,微??13855608462
176,0,zfn????,2,130,13,3,3,41,0,
177,1,琳琳SweeT?,14,227,15,0,0,0,1,没什么特别的  就是很可爱
178,0,用户8314913924452,0,15,0,0,0,31,0,
179,1,DY20190618,0,1406,23,0,0,15,0,
180,0,不是吧,0,68,1,0,0,2,0,
181,1,米??玥,40,63,15,34,58,151,1,在时间的长河里，到底还有什么比爱更珍贵？
182,0,用户4459540929795,0,54,0,0,0,0,0,
183,1,心善虑远诸事顺,16755,267,13277,13,54,2083,1,南无阿弥陀佛
184,1,Psita,3,935,26,1,1,3695,0,
185,0,忧郁的土匪,0,32,0,0,0,7,0,
186,0,Another,0,82,3,0,0,24,0,
187,1,小何王子,21,42,42,1,1,1987,0,
188,1,米可家居销售部,1307,1007,324,70,81,0,1,酒是很好的饮料 让每个心情不美丽的人 喝了都会变得美丽
189,1,应作如是观,0,654,16,0,0,19362,1,一切有为法，如梦幻泡影，如露亦如电，应作如是观。
190,0,ZLJ,0,167,0,0,0,15,0,
191,1,柿子红了,54,219,36,50,50,158,1,谢谢你的关注
192,0,大吕茶行,39,69,17,4,4,18,1,"平生无甚好，
惟喜酒诗茶。
诚邀有情客，
闲聊到吕家。"
193,1,乌鲁木齐古生物陈列,277822,752,8496,18,18,2699,1,石头也精彩
194,1,天马,135,661,31,59,59,2263,0,
195,1,·,22,1334,0,7,8,2897,0,
196,1,*訫蘭*,9,326,12,0,0,0,0,
197,1,CWP,0,62,1,0,0,250,1,痛苦难道是白受的吗？它应该使人伟大！
198,1,仙女      ??（互）,455,604,291,63,66,7027,1,"20粉丝  √
30粉丝  √
40粉丝  √
50粉丝  √
60粉丝  √
70粉丝  √
80粉丝  √ 
90粉丝  √
100粉丝  √
200粉丝  √
300粉丝"
199,1,感谢一路有你,148,1468,247,51,51,1308,1,都在发84年11月11日，有没有同年同月同日的
200,1,用户4927124050686,0,167,0,0,0,280,0,
201,1,全屋定制设计师代晨迪,798,237,123,97,99,499,1,万家乐全屋定制给你一个温暖的家
202,1,蔚蓝,153,12,25,44,44,61,0,
203,1,树已落叶花未开,0,668,11,0,0,1943,0,
204,0,鹤归,0,2,0,0,0,36,0,
